Smiles,CYP1A2,CYP2A6,CYP2B6,CYP2C8,CYP2C9,CYP2C19,CYP2D6,CYP2E1,CYP3A4,St_smi,stratify_col
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,1.0
[O:1]=[C:2]([O:3][CH:4]1[CH2:5][CH:6]2[c:7]3[cH:8][c:9]([O:10][CH3:11])[c:12]([O:13][CH3:14])[cH:15][c:16]3[CH2:17][CH2:18][N:19]2[CH2:20][CH:21]1[CH2:22][CH:23]([CH3:24])[CH3:25])[CH:26]([NH2:27])[CH:28]([CH3:29])[CH3:30],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,COc1cc2c(cc1OC)C1CC(OC(=O)C(N)C(C)C)C(CC(C)C)CN1CC2,1.0
O([C@@H]1[C@@H](C)O[C@@H](O[C@@H]2C[C@@H]3[C@@](C)([C@@H]4[C@H]([C@]5(O)[C@](C)([C@H](O)C4)[C@@H](C4=CC(=O)OC4)CC5)CC3)CC2)C[C@@H]1O)[C@@H]1O[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@@H](O)C2)[C@@H](O)C1,,,,,,,,,1.0,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,1.0
C[C@@H](O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,3.0
[O:1]=[C:2]([OH:3])[CH2:4][c:5]1[cH:6][cH:7][c:8]2[cH:9][c:10]([O:11][CH3:12])[cH:13][cH:14][c:15]2[cH:16]1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,COc1ccc2cc(CC(=O)O)ccc2c1,1.0
O=C(O)CCc1oc(c(-c2ccccc2)n1)-c1ccccc1,,,,,1.0,,,,,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,1.0
OCCCOc1cccc(CN2CCCCC2)c1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,OCCCOc1cccc(CN2CCCCC2)c1,1.0
O=C(O[C@@]1(C(=O)C)[C@]2(C)[C@H]([C@H]3[C@@H]([C@@H]4C(C(C)=C3)=CC(=O)CC4)CC2)CC1)C,,,,,,,,,1.0,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4C3CCC21C,1.0
O=C(O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,,,,,1.0,,,,,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O,1.0
Clc1cc2c(O[C@H]3CN(C(=O)[C@@H](N=C(OC(C)(C)C)O)C(C)(C)C)[C@H](C(O)=N[C@@]4(C(O)=NS(=O)(=O)C5CC5)[C@H](C=C)C4)C3)ncc(OC)c2cc1,,,,,1.0,1.0,1.0,,1.0,C=CC1CC1(N=C(O)C1CC(Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)C(N=C(O)OC(C)(C)C)C(C)(C)C)C(O)=NS(=O)(=O)C1CC1,4.0
[O:1]=[c:2]1[n:3][c:4]([nH:5][n:6]2[c:7]([n:8][c:9]([c:10]12)[CH3:11])[CH2:12][CH2:13][CH3:14])-[c:15]3[cH:16][c:17]([cH:18][cH:19][c:20]3[O:21][CH2:22][CH3:23])[S:24](=[O:25])(=[O:26])[N:27]4[CH2:28][CH2:29][N:30]([CH2:31][CH3:32])[CH2:33][CH2:34]4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,1.0
NC(CC[S@@](=O)CC(N)C(=O)O)C(=O)O,,,,,,,,,0.0,NC(CC[S+]([O-])CC(N)C(=O)O)C(=O)O,0.0
S(=O)(=O)(NC(=N)CCSCc1nc(NC(=N)N)sc1)N,,,,,,1.0,1.0,,,N=C(N)Nc1nc(CSCCC(=N)NS(N)(=O)=O)cs1,2.0
