Smiles,bond_target
[O:1]=[C:2]([CH2:3][CH3:4])[C:5]([c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)([c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[CH2:18][CH:19]([N:20]([CH3:21])[CH3:22])[CH3:23],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH2:4][N:5]([C:6](=[O:7])[O:8][c:9]1[cH:10][cH:11][c:12]([O:13][CH3:14])[cH:15][cH:16]1)[CH2:17][c:18]2[cH:19][cH:20][c:21]([O:22][CH2:23][CH2:24][c:25]3[n:26][c:27]([o:28][c:29]3[CH3:30])-[c:31]4[cH:32][cH:33][cH:34][cH:35][cH:36]4)[cH:37][cH:38]2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([O:3][CH:4]([CH2:5][CH3:6])[C:7]([c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)([c:14]2[cH:15][cH:16][cH:17][cH:18][cH:19]2)[CH2:20][CH:21]([N:22]([CH3:23])[CH3:24])[CH3:25])[CH3:26],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([N:3]([CH2:4][CH3:5])[CH2:6][CH3:7])[C:8]1([c:9]2[cH:10][cH:11][cH:12][cH:13][cH:14]2)[CH2:15][CH:16]1[CH2:17][NH2:18],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[Cl:1][C:2]([Cl:3])([Cl:4])[CH:5]([c:6]1[cH:7][cH:8][c:9]([O:10][CH3:11])[cH:12][cH:13]1)[c:14]2[cH:15][cH:16][c:17]([O:18][CH3:19])[cH:20][cH:21]2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
[F:1][c:2]1[cH:3][cH:4][c:5]([cH:6][cH:7]1)-[c:8]2[nH:9][c:10]([n:11][c:12]2-[c:13]3[cH:14][cH:15][n:16][c:17]([cH:18]3)[NH:19][CH:20]([c:21]4[cH:22][cH:23][cH:24][cH:25][cH:26]4)[CH3:27])[S:28][CH3:29],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH2:4][CH:5]([OH:6])[CH2:7][CH:8]([OH:9])[CH:10]=[CH:11][c:12]1[c:13]([n:14][c:15]([c:16]([c:17]1-[c:18]2[cH:19][cH:20][c:21]([F:22])[cH:23][cH:24]2)[CH2:25][O:26][CH3:27])[CH:28]([CH3:29])[CH3:30])[CH:31]([CH3:32])[CH3:33],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[c:2]1[c:3]([cH:4][n:5]([n:6]1-[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[CH3:13])[N:14]([CH3:15])[CH3:16],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
[O:1]=[C:2]([O:3][CH2:4][CH3:5])[N:6]1[CH2:7][CH2:8][C:9](=[C:10]2[c:11]3[n:12][cH:13][cH:14][cH:15][c:16]3[CH2:17][CH2:18][c:19]4[cH:20][c:21]([Cl:22])[cH:23][cH:24][c:25]24)[CH2:26][CH2:27]1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]1[CH2:3][CH2:4][C:5]2([OH:6])[CH:7]3[N:8]([CH3:9])[CH2:10][CH2:11][C:12]24[c:13]5[c:14]([O:15][CH:16]14)[c:17]([O:18][CH3:19])[cH:20][cH:21][c:22]5[CH2:23]3,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[N:2][N:3]([CH2:4][CH3:5])[CH2:6][CH3:7],"[0, 0, 1, 0, 0, 0]"
[O:1]([c:2]1[cH:3][cH:4][c:5]2[nH:6][cH:7][c:8]([c:9]2[cH:10]1)[CH2:11][CH2:12][N:13]([CH:14]([CH3:15])[CH3:16])[CH:17]([CH3:18])[CH3:19])[CH3:20],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
[O:1]=[C:2]([OH:3])[CH2:4][CH2:5][CH:6]([NH:7][C:8](=[O:9])[c:10]1[cH:11][cH:12][c:13]([Cl:14])[c:15]([Cl:16])[cH:17]1)[C:18](=[O:19])[N:20]([CH2:21][CH2:22][CH2:23][O:24][CH3:25])[CH2:26][CH2:27][CH2:28][CH2:29][CH3:30],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
[OH:1][c:2]1[cH:3][c:4]([c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[c:11]1[OH:12])[CH2:13][N:14]([CH3:15])[CH2:16][CH:17]=[CH:18][C:19]#[C:20][C:21]([CH3:22])([CH3:23])[CH3:24],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[c:2]1[cH:3][c:4]([n:5]([n:6]1-[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[CH3:13])[CH3:14],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
[O:1]=[C:2]1[N:3]([c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)[c:10]3[cH:11][c:12]([Cl:13])[cH:14][cH:15][c:16]3[N:17]([C:18](=[O:19])[CH2:20]1)[CH3:21],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
[OH:1][CH2:2][CH:3]=[C:4]([CH:5]=[CH:6][CH:7]=[C:8]([CH:9]=[CH:10][C:11]1=[C:12]([CH3:13])[CH2:14][CH2:15][CH2:16][C:17]1([CH3:18])[CH3:19])[CH3:20])[CH3:21],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[N:2][N:3]([CH2:4][CH2:5][CH3:6])[CH2:7][CH2:8][CH3:9],"[0, 1, 1, 0, 0, 0, 0, 0]"
[F:1][C:2]([F:3])([F:4])[O:5][c:6]1[cH:7][cH:8][c:9]([OH:10])[c:11]([cH:12]1)[CH2:13][NH:14][CH:15]2[CH2:16][CH2:17][CH2:18][NH:19][CH:20]2[c:21]3[cH:22][cH:23][cH:24][cH:25][cH:26]3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([NH2:3])[N:4]1[c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[CH:11]=[CH:12][c:13]3[cH:14][cH:15][cH:16][cH:17][c:18]13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[Cl:1][C:2]([Cl:3])([Cl:4])[CH:5]([c:6]1[cH:7][cH:8][c:9]([O:10][CH3:11])[cH:12][cH:13]1)[c:14]2[cH:15][cH:16][c:17]([OH:18])[c:19]([OH:20])[cH:21]2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
