SMI_Idx,Smiles,Enzyme,SOMs,Scores,RXN_Type,Uncertainty,Products
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP1A2,15,0.58,N-Hydroxylation,L,['CC(Oc1cc(-c2cnn(C3CCN(O)CC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl']
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP1A2,26,0.84,Hydroxylation,L,['CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)cc(O)c(F)c1Cl']
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP1A2,27,0.77,Hydroxylation,L,['CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)c(O)cc(F)c1Cl']
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP1A2,1,0.95,Dealkylation,H,"['Nc1ncc(-c2cnn(C3CCNCC3)c2)cc1O', 'CC(=O)c1c(Cl)ccc(F)c1Cl']"
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP1A2,11,0.65,Dealkylation,L,[]
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP2A6,15,0.72,N-Hydroxylation,L,['CC(Oc1cc(-c2cnn(C3CCN(O)CC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl']
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP2A6,26,0.75,Hydroxylation,L,['CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)cc(O)c(F)c1Cl']
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP2A6,27,0.7,Hydroxylation,L,['CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)c(O)cc(F)c1Cl']
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP2A6,1,0.96,Dealkylation,H,"['Nc1ncc(-c2cnn(C3CCNCC3)c2)cc1O', 'CC(=O)c1c(Cl)ccc(F)c1Cl']"
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP2A6,11,0.66,Dealkylation,L,[]
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP2B6,14,0.5,Hydroxylation,L,['CC(Oc1cc(-c2cnn(C3CCNC(O)C3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl']
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP2B6,15,0.65,N-Hydroxylation,L,['CC(Oc1cc(-c2cnn(C3CCN(O)CC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl']
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP2B6,16,0.5,Hydroxylation,L,['CC(Oc1cc(-c2cnn(C3CCNC(O)C3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl']
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP2B6,26,0.78,Hydroxylation,L,['CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)cc(O)c(F)c1Cl']
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP2B6,27,0.74,Hydroxylation,L,['CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)c(O)cc(F)c1Cl']
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP2B6,1,0.95,Dealkylation,H,"['Nc1ncc(-c2cnn(C3CCNCC3)c2)cc1O', 'CC(=O)c1c(Cl)ccc(F)c1Cl']"
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP2B6,11,0.6,Dealkylation,L,[]
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP2C8,14,0.59,Hydroxylation,L,['CC(Oc1cc(-c2cnn(C3CCNC(O)C3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl']
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP2C8,15,0.64,N-Hydroxylation,L,['CC(Oc1cc(-c2cnn(C3CCN(O)CC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl']
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP2C8,16,0.59,Hydroxylation,L,['CC(Oc1cc(-c2cnn(C3CCNC(O)C3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl']
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP2C8,26,0.83,Hydroxylation,L,['CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)cc(O)c(F)c1Cl']
3,CC(OC1=C(N)N=CC(C2=CN(C3CCNCC3)N=C2)=C1)C4=C(Cl)C(F)=CC=C4Cl,CYP2C8,27,0.73,Hydroxylation,L,['CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)c(O)cc(F)c1Cl']
