SMI_Idx,Smiles,Enzyme,SOMs,Scores,RXN_Type,Uncertainty,Products
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP1A2,1,0.98,Hydroxylation,H,['C=C1CCCC2(C)CC3=C(CC12)C(C)(O)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP1A2,7,0.63,Hydroxylation,L,['C=C1CCCC2(C)C(O)C3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP1A2,11,0.51,Hydroxylation,L,['C=C1CCCC2(C)CC3=C(C(C)C(=O)O3)C(O)C12']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP1A2,13,0.97,Hydroxylation,H,['C=C1C(O)CCC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP1A2,14,0.6,Hydroxylation,L,['C=C1CC(O)CC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP1A2,15,0.97,Epoxidation,H,['CC1C(=O)OC2=C1CC1C(C)(CCCC13CO3)C2']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2A6,1,0.99,Hydroxylation,H,['C=C1CCCC2(C)CC3=C(CC12)C(C)(O)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2A6,7,0.67,Hydroxylation,L,['C=C1CCCC2(C)C(O)C3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2A6,11,0.54,Hydroxylation,L,['C=C1CCCC2(C)CC3=C(C(C)C(=O)O3)C(O)C12']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2A6,13,0.98,Hydroxylation,H,['C=C1C(O)CCC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2A6,14,0.73,Hydroxylation,L,['C=C1CC(O)CC2(C)CC3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2A6,15,0.98,Epoxidation,H,['CC1C(=O)OC2=C1CC1C(C)(CCCC13CO3)C2']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2B6,1,0.98,Hydroxylation,H,['C=C1CCCC2(C)CC3=C(CC12)C(C)(O)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2B6,7,0.63,Hydroxylation,L,['C=C1CCCC2(C)C(O)C3=C(CC12)C(C)C(=O)O3']
1,CC(C(O1)=O)C2=C1CC3(C)C(C2)C(CCC3)=C,CYP2B6,11,0.53,Hydroxylation,L,['C=C1CCCC2(C)CC3=C(C(C)C(=O)O3)C(O)C12']
