Smiles,atom_target
[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]2[CH:6]3[CH2:7][CH2:8][c:9]4[cH:10][c:11]([OH:12])[cH:13][cH:14][c:15]4[CH:16]3[CH2:17][CH2:18][C:19]12[CH3:20],"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[CH:2][c:3]1[c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[cH:10][c:11]3[cH:12][cH:13][cH:14][cH:15][c:16]13,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([NH:3][c:4]1[c:5]([cH:6][cH:7][cH:8][c:9]1[CH3:10])[CH3:11])[CH2:12][N:13]([CH2:14][CH3:15])[CH2:16][CH3:17],"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[CH:1]1([CH2:2][CH2:3]1)[C:30]([NH:29][c:11]2[n:10][n:9][c:8]([C:6]([NH:5][CH2:4])=[O:7])[c:13]([cH:12]2)[NH:14][c:15]3[cH:16][cH:17][cH:18][c:19](-[c:20]4[n:21][cH:22][n:23]([n:24]4)[CH3:25])[c:26]3[O:27][CH3:28])=[O:31],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[N:2][N:3]([CH2:4][CH2:5][CH2:6][CH2:7][CH3:8])[CH2:9][CH2:10][CH2:11][CH2:12][CH3:13],"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0]"
[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][n:6][c:7]([n:8]1[CH3:9])[CH2:10][O:11][c:12]2[cH:13][cH:14][c:15]([S:16][CH3:17])[cH:18][cH:19]2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
[O:1]=[C:2]([O:3][c:4]1[cH:5][c:6]([c:7]([S:8][CH3:9])[c:10]([cH:11]1)[CH3:12])[CH3:13])[NH:14][CH3:15],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
[S:1]1[c:2]2[cH:3][cH:4][cH:5][cH:6][c:7]2[N:8]([c:9]3[cH:10][c:11]([S:12][CH3:13])[cH:14][cH:15][c:16]13)[CH2:17][CH2:18][CH:19]4[N:20]([CH3:21])[CH2:22][CH2:23][CH2:24][CH2:25]4,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[OH:1][c:2]1[c:3]([cH:4][cH:5][cH:6][c:7]1[CH:8]([CH3:9])[CH3:10])[CH:11]([CH3:12])[CH3:13],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
[Cl:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[C:8]2=[N:9][CH2:10][c:11]3[n:12][n:13][c:14]([n:15]3-[c:16]4[s:17][c:18]([cH:19][c:20]24)[CH2:21][CH3:22])[CH3:23],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
[O:1]=[C:2]([c:3]1[s:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[cH:11]1)[CH3:12],"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
